TITLE	
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	24/09/13
TIME	10:28:53
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	 1500.0000
LASTX	  300.0000
NPOINTS	    1201
FIRSTY	    21.31707
MAXY	    28.99502
MINY	    -0.61761
XYDATA
1059.0000	17.8379
1058.0000	17.5336
1057.0000	17.2258
1056.0000	16.9929
1055.0000	16.7716
1054.0000	16.3238
1053.0000	16.2253
1052.0000	15.8721
1051.0000	15.6294
1050.0000	15.4151
1049.0000	15.0781
1048.0000	14.893
1047.0000	14.745
1046.0000	14.5701
1045.0000	14.0819
1044.0000	13.6053
1043.0000	13.4149
1042.0000	13.2264
1041.0000	12.9234
1040.0000	12.5197
1039.0000	12.2958
1038.0000	12.1918
1037.0000	11.8842
1036.0000	11.6671
1035.0000	11.4526
1034.0000	11.2679
1033.0000	11.1229
1032.0000	10.6165
1031.0000	10.6348
1030.0000	10.4406
1029.0000	10.1554
1028.0000	9.91079
1027.0000	9.59451
1026.0000	9.45245
1025.0000	9.27936
1024.0000	9.09294
1023.0000	8.62572
1022.0000	8.51281
1021.0000	8.22735
1020.0000	7.89534
1019.0000	7.93607
1018.0000	7.71344
1017.0000	7.50551
1016.0000	7.17737
1015.0000	6.85206
1014.0000	6.66485
1013.0000	6.22739
1012.0000	5.97989
1011.0000	5.91988
1010.0000	5.74501
1009.0000	5.85746
1008.0000	5.82712
1007.0000	5.68124
1006.0000	5.66426
1005.0000	5.63599
1004.0000	5.34296
1003.0000	5.02211
1002.0000	4.83927
1001.0000	4.80427
1000.0000	4.45172
999.0000	4.32196
998.0000	4.24221
997.0000	4.3426
996.0000	4.29238
995.0000	4.26904
994.0000	4.00766
993.0000	3.90317
992.0000	3.89924
991.0000	3.70074
990.0000	3.46947
989.0000	3.34618
988.0000	3.23597
987.0000	3.13324
986.0000	2.95276
985.0000	2.83477
984.0000	2.57184
983.0000	2.53436
982.0000	2.78637
981.0000	2.81285
980.0000	2.72266
979.0000	2.44601
978.0000	2.33846
977.0000	2.45965
976.0000	2.21824
975.0000	2.21257
974.0000	2.09759
973.0000	2.21851
972.0000	2.31922
971.0000	2.12616
970.0000	1.90057
969.0000	1.79453
968.0000	1.75421
967.0000	1.64137
966.0000	1.45558
965.0000	1.44143
964.0000	1.37017
963.0000	1.16856
962.0000	0.966575
961.0000	0.8716
960.0000	0.934958
959.0000	1.12884
958.0000	0.97644
957.0000	1.09908
956.0000	1.06041
955.0000	1.02005
954.0000	0.823411
953.0000	0.845859
952.0000	0.763527
951.0000	0.849822
950.0000	1.18055
949.0000	1.26306
948.0000	1.69632
947.0000	1.44207
946.0000	1.42522
945.0000	1.35751
944.0000	1.15765
943.0000	1.30173
942.0000	1.31321
941.0000	1.0591
940.0000	1.14991
939.0000	1.32563
938.0000	1.0729
937.0000	0.847573
936.0000	0.634339
935.0000	0.848615
934.0000	1.17157
933.0000	0.709512
932.0000	0.579067
931.0000	0.679745
930.0000	0.615157
929.0000	0.583955
928.0000	0.325033
927.0000	0.580474
926.0000	0.607401
925.0000	0.757165
924.0000	0.858024
923.0000	1.10363
922.0000	1.17743
921.0000	1.06462
920.0000	1.49686
919.0000	1.41357
918.0000	1.43785
917.0000	1.18931
916.0000	1.21775
915.0000	1.25677
914.0000	0.734534
913.0000	0.658878
912.0000	0.611164
911.0000	0.876989
910.0000	0.771844
909.0000	0.549078
908.0000	0.472843
907.0000	0.462688
906.0000	0.908353
905.0000	1.162
904.0000	0.830963
903.0000	1.367
902.0000	1.44146
901.0000	1.48464
900.0000	1.46425
899.0000	1.01216
898.0000	1.26085
897.0000	1.24925
896.0000	0.939545
895.0000	0.993281
894.0000	1.15936
893.0000	1.18167
892.0000	0.791115
891.0000	0.733112
890.0000	0.921471
889.0000	0.862329
888.0000	0.560375
887.0000	0.362147
886.0000	0.377462
885.0000	0.790943
884.0000	0.572995
883.0000	0.468141
882.0000	0.211064
881.0000	0.727083
880.0000	0.731955
879.0000	0.502398
878.0000	0.439998
877.0000	0.366687
876.0000	0.443463
875.0000	0.452111
874.0000	0.870559
873.0000	0.85245
872.0000	0.924408
871.0000	0.489635
870.0000	0.332768
869.0000	0.402562
868.0000	-0.107544
867.0000	-0.138726
866.0000	0.396531
865.0000	0.199487
864.0000	0.134886
863.0000	0.227318
862.0000	0.485662
861.0000	0.887822
860.0000	1.02293
859.0000	1.19134
858.0000	1.37389
857.0000	1.7449
856.0000	1.43009
855.0000	1.45859
854.0000	1.0513
853.0000	0.784702
852.0000	0.610986
851.0000	0.517764
850.0000	0.00569588
849.0000	0.00571956
848.0000	0.00646367
847.0000	0.00656282
846.0000	0.00668039
845.0000	0.00742678
844.0000	0.00728165
843.0000	0.00735724
842.0000	0.00799876
841.0000	0.00820899
840.0000	0.00838972
839.0000	0.00863659
838.0000	0.0091737
837.0000	0.00957068
836.0000	0.0100264
835.0000	0.0101722
834.0000	0.0103877
833.0000	0.0106781
832.0000	0.0110739
831.0000	0.0112812
830.0000	0.0115366
